,rut,nombre,Q (m3/s),flag
1976-07-21,01001001-2,RIO CAQUENA EN NACIMIENTO,0.501,     
1969-11-27,01001002-0,RIO CAQUENA EN VERTEDERO,0.437,     
1988-06-16,01001003-9,RIO COLPACAGUA EN DESEMBOCADURA,0.194,     
1963-06-20,01010002-K,RIO CHUNGARA EN DESEMBOCADURA,0.151,     
1964-12-07,01020002-4,RIO DESAGUADERO COTACOTANI,0.226,     
1937-02-06,01020003-2,RIO LAUCA EN ESTANCIA EL LAGO,3.37,     
1984-12-01,01020004-0,"CANAL LAUCA EN SIFON N"" 1 (Km. 3.3)",1.17,     
2018-10-04,01020020-2,CANAL LAUCA EN CHUCUYO KM 0 (DOH),0.654,     
1963-04-11,01021001-1,RIO LAUCA EN JAPU (O EN EL LIMITE),4.26,*    
1971-05-26,01021002-K,RIO GUALLATIRE EN GUALLATIRE,0.385,     
1994-09-29,01041001-0,RIO CARIQUIMA EN CARIQUIMA,0.06,     
1995-05-25,01041002-9,RIO ISLUGA EN BOCATOMA,0.409,     
1994-08-10,01044001-7,RIO CANCOSA EN EL TAMBO,0.163,     
1959-11-15,01050001-K,QUEBRADA PIGA EN OJOS DE AGUA,0.1,*    
1959-11-15,01050002-8,RIO PIGA EN COLLACAGUA,0.11,     
1980-09-24,01050003-6,RIO BATEA EN CONFLUENCIA,0.003,     
1981-02-11,01050004-4,RIO COLLACAGUA EN PEÑABLANCA,0.172,     
2010-12-25,01051001-5,VERTIENTE EL ERMITAÑO EN LAG.HUASCO,0.02,     
2017-07-11,01051002-3,VERTIENTE HUASCO NORTE LAG.HUASCO,0.028,     
1961-12-13,01201001-K,RIO COLPITAS EN ALCERRECA,0.585,*    
1961-12-13,01201002-8,RIO CARACARANI EN ALCERRECA,1.37,*    
1961-11-03,01201003-6,RIO LLUTA EN ALCERRECA,1.04,     
1973-08-15,01201005-2,RIO CARACARANI EN HUMAPALCA,0.726,     
1937-11-09,01202001-5,RIO LLUTA EN JAMIRAYA,1.75,     
1946-07-01,01210001-9,RIO LLUTA EN TOCONTASI,1.46,     
1940-03-01,01210002-7,RIO LLUTA EN EL MOLINO,1.38,     
1987-09-04,01210003-5,RIO LLUTA EN CHAPISCA,1.75,     
1985-01-01,01211001-4,RIO LLUTA EN PANAMERICANA,0.035,     
1979-01-09,01211002-2,RIO LLUTA EN PUENTE VIEJO KM 15,0.102,*    
1994-12-07,01300001-8,RIO TICNAMAR EN TICNAMAR,0.01,     
1995-09-12,01300002-6,RIO LACO EN COSAPILLA,0.538,     
2006-01-01,01300009-3,RIO TICNAMAR EN ANGOSTURA,0.028,     
1937-02-20,01310001-2,RIO SAN JOSE EN LIVILCAR,1.34,*    
1967-05-15,01310002-0,RIO SAN JOSE EN AUSIPAR,0.848,     
1975-05-15,01310003-9,RIO SAN JOSE ANTES BOCATOMA AZAPA,1.53,     
1963-04-10,01310004-7,ACUEDUCTO AZAPA EN BOCATOMA,0.456,     
1947-04-01,01310005-5,RIO SAN JOSE EN EL MOLINO,0.014,*    
1982-10-11,01410004-0,RIO CODPA EN CALA-CALA,0.03,     
1946-08-01,01410005-9,RIO CODPA EN OFRAGIA,0.046,*    
1946-07-01,01410006-7,RIO CODPA EN PALCA,0.077,     
1958-04-19,01502002-4,RIO CAMARONES EN CONANOXA,0.22,     
2005-12-12,01502008-3,RIO CAMARONES EN CHILPE,0.665,     
1962-06-24,01610001-3,QUEBRADA CAMIGNA EN UMIGNA,0.298,     
1978-10-30,01610002-1,QUEBRADA CAMIÑA EN ALTUSA,0.339,     
2006-10-03,01610004-8,Q. CAMIÑA 3 KM. A. ARRIBA DE TARCAVIRE,0.468,     
1928-09-19,01710001-7,QUEBRADA CAMIGNA EN PACAGUA,0.212,     
1928-09-11,01720001-1,RIO AROMA EN ALAGNUSCA,0.134,     
1977-12-08,01730001-6,RIO COSCAYA EN PAMPA LIRIMA,0.136,     
1984-12-10,01730002-4,RIO TARAPACA EN MINA SAN JUAN,0.315,     
1985-05-15,01730003-2,RIO COSCAYA EN SAITOCO,0.093,     
